⚠️ better-sqlite3 not available, using stdlib sqlite3
📊 Total narrators missing translations: 21,658
📊 Fetched 21658 narrators to process

[Workers: 1] Starting 2166 batches
[142/2166] ✓ wrote 10, skipped 0
[143/2166] ✓ wrote 10, skipped 0
[144/2166] ✓ wrote 10, skipped 0
[145/2166] ✓ wrote 10, skipped 0
[146/2166] ✓ wrote 10, skipped 0
[147/2166] ✓ wrote 10, skipped 0
[148/2166] ✓ wrote 10, skipped 0
[149/2166] ✓ wrote 10, skipped 0
[150/2166] ✓ wrote 10, skipped 0
[151/2166] ✓ wrote 10, skipped 0
[152/2166] ✓ wrote 10, skipped 0
[153/2166] ✓ wrote 10, skipped 0
[154/2166] ✓ wrote 10, skipped 0
[155/2166] ✓ wrote 10, skipped 0
[156/2166] ✓ wrote 10, skipped 0
[157/2166] ✓ wrote 10, skipped 0
[158/2166] ✓ wrote 10, skipped 0
[159/2166] ✓ wrote 10, skipped 0
[160/2166] ✓ wrote 10, skipped 0
[161/2166] ✓ wrote 10, skipped 0
[162/2166] ✓ wrote 10, skipped 0
[163/2166] ✓ wrote 10, skipped 0
[164/2166] ✓ wrote 10, skipped 0
[165/2166] ✓ wrote 10, skipped 0
[166/2166] ✓ wrote 10, skipped 0
[167/2166] ✓ wrote 10, skipped 0
[168/2166] ✓ wrote 10, skipped 0
[169/2166] ✓ wrote 9, skipped 1
[170/2166] ✓ wrote 10, skipped 0
[171/2166] ✓ wrote 10, skipped 0
[172/2166] ✓ wrote 10, skipped 0
[173/2166] ✓ wrote 10, skipped 0
[174/2166] ✓ wrote 10, skipped 0
[175/2166] ✓ wrote 10, skipped 0
[176/2166] ✓ wrote 10, skipped 0
[177/2166] ✓ wrote 10, skipped 0
[178/2166] ✓ wrote 10, skipped 0
[179/2166] ✓ wrote 10, skipped 0
[180/2166] ✓ wrote 10, skipped 0
[181/2166] ✓ wrote 10, skipped 0
[182/2166] ✓ wrote 10, skipped 0
[183/2166] ✓ wrote 10, skipped 0
[184/2166] ✓ wrote 10, skipped 0
[185/2166] ✓ wrote 10, skipped 0
[186/2166] ✓ wrote 10, skipped 0
[187/2166] ✓ wrote 10, skipped 0
[188/2166] ✓ wrote 10, skipped 0
[189/2166] ✓ wrote 10, skipped 0
[190/2166] ✓ wrote 10, skipped 0
[191/2166] ✓ wrote 10, skipped 0
[192/2166] ✓ wrote 10, skipped 0
[193/2166] ✓ wrote 10, skipped 0
[194/2166] ✓ wrote 10, skipped 0
[195/2166] ✓ wrote 10, skipped 0
[196/2166] ✓ wrote 10, skipped 0
[197/2166] ✓ wrote 10, skipped 0
[198/2166] ✓ wrote 10, skipped 0
[199/2166] ✓ wrote 10, skipped 0
[200/2166] ✓ wrote 10, skipped 0
[201/2166] ✓ wrote 10, skipped 0
[202/2166] ✓ wrote 10, skipped 0
[203/2166] ✓ wrote 10, skipped 0
[204/2166] ✓ wrote 10, skipped 0
[205/2166] ✓ wrote 10, skipped 0
[206/2166] ✓ wrote 10, skipped 0
[207/2166] ✓ wrote 10, skipped 0
[208/2166] ✓ wrote 10, skipped 0
[209/2166] ✓ wrote 10, skipped 0
[210/2166] ✓ wrote 10, skipped 0
[211/2166] ✓ wrote 10, skipped 0
[212/2166] ✓ wrote 10, skipped 0
[213/2166] ✓ wrote 10, skipped 0
[214/2166] ✓ wrote 10, skipped 0
[215/2166] ✓ wrote 10, skipped 0
[216/2166] ✓ wrote 10, skipped 0
[217/2166] ✓ wrote 10, skipped 0
[218/2166] ✓ wrote 10, skipped 0
[219/2166] ✓ wrote 10, skipped 0
[220/2166] ✓ wrote 10, skipped 0
[221/2166] ✓ wrote 10, skipped 0
[222/2166] ✓ wrote 10, skipped 0
[223/2166] ✓ wrote 10, skipped 0
[224/2166] ✓ wrote 10, skipped 0
[225/2166] ✓ wrote 10, skipped 0
[226/2166] ✓ wrote 10, skipped 0
[227/2166] ✓ wrote 10, skipped 0
[228/2166] ✓ wrote 9, skipped 1
[229/2166] ✓ wrote 10, skipped 0
[230/2166] ✓ wrote 10, skipped 0
[231/2166] ✓ wrote 10, skipped 0
[232/2166] ✓ wrote 10, skipped 0
[233/2166] ✓ wrote 10, skipped 0
[234/2166] ✓ wrote 10, skipped 0
[235/2166] ✓ wrote 10, skipped 0
[236/2166] ✓ wrote 10, skipped 0
[237/2166] ✓ wrote 10, skipped 0
[238/2166] ✓ wrote 10, skipped 0
[239/2166] ✓ wrote 10, skipped 0
[240/2166] ✓ wrote 10, skipped 0
[241/2166] ✓ wrote 10, skipped 0
[242/2166] ✓ wrote 10, skipped 0
[243/2166] ✓ wrote 10, skipped 0
[244/2166] ✓ wrote 10, skipped 0
[245/2166] ✓ wrote 10, skipped 0
[246/2166] ✓ wrote 10, skipped 0
[247/2166] ✓ wrote 10, skipped 0
[248/2166] ✓ wrote 10, skipped 0
[249/2166] ✓ wrote 10, skipped 0
[250/2166] ✓ wrote 9, skipped 1
[251/2166] ✓ wrote 9, skipped 1
[252/2166] ✓ wrote 10, skipped 0
[253/2166] ✓ wrote 10, skipped 0
[254/2166] ✓ wrote 9, skipped 1
[255/2166] ✓ wrote 10, skipped 0
[256/2166] ✓ wrote 10, skipped 0
[257/2166] ✓ wrote 10, skipped 0
[258/2166] ✓ wrote 9, skipped 1
[259/2166] ✓ wrote 10, skipped 0
[260/2166] ✓ wrote 10, skipped 0
[261/2166] ✓ wrote 10, skipped 0
[262/2166] ✓ wrote 10, skipped 0
[263/2166] ✓ wrote 10, skipped 0
[264/2166] ✓ wrote 10, skipped 0
[265/2166] ✓ wrote 10, skipped 0
[266/2166] ✓ wrote 10, skipped 0
[267/2166] ✓ wrote 10, skipped 0
[268/2166] ✓ wrote 10, skipped 0
[269/2166] ✓ wrote 10, skipped 0
[270/2166] ✓ wrote 10, skipped 0
[271/2166] ✓ wrote 10, skipped 0
[272/2166] ✓ wrote 10, skipped 0
[273/2166] ✓ wrote 10, skipped 0
[274/2166] ✓ wrote 10, skipped 0
[275/2166] ✓ wrote 10, skipped 0
[276/2166] ✓ wrote 10, skipped 0
[277/2166] ✓ wrote 10, skipped 0
[278/2166] ✓ wrote 10, skipped 0
[279/2166] ✓ wrote 10, skipped 0
[280/2166] ✓ wrote 10, skipped 0
[281/2166] ✓ wrote 10, skipped 0
[282/2166] ✓ wrote 10, skipped 0
[283/2166] ✓ wrote 9, skipped 1
[284/2166] ✓ wrote 10, skipped 0
[285/2166] ✓ wrote 10, skipped 0
[286/2166] ✓ wrote 10, skipped 0
[287/2166] ✓ wrote 10, skipped 0
[288/2166] ✓ wrote 10, skipped 0
[289/2166] ✓ wrote 10, skipped 0
[290/2166] ✓ wrote 10, skipped 0
[291/2166] ✓ wrote 10, skipped 0
[292/2166] ✓ wrote 10, skipped 0
[293/2166] ✓ wrote 10, skipped 0
[294/2166] ✓ wrote 10, skipped 0
[295/2166] ✓ wrote 9, skipped 1
[296/2166] ✓ wrote 10, skipped 0
[297/2166] ✓ wrote 10, skipped 0
[298/2166] ✓ wrote 10, skipped 0
[299/2166] ✓ wrote 10, skipped 0
[300/2166] ✓ wrote 10, skipped 0
[301/2166] ✓ wrote 10, skipped 0
[302/2166] ✓ wrote 10, skipped 0
[303/2166] ✓ wrote 10, skipped 0
[304/2166] ✓ wrote 10, skipped 0
[305/2166] ✓ wrote 10, skipped 0
[306/2166] ✓ wrote 10, skipped 0
[307/2166] ✓ wrote 10, skipped 0
[308/2166] ✓ wrote 10, skipped 0
[309/2166] ✓ wrote 10, skipped 0
[310/2166] ✓ wrote 10, skipped 0
[311/2166] ✓ wrote 10, skipped 0
[312/2166] ✓ wrote 10, skipped 0
[313/2166] ✓ wrote 10, skipped 0
[314/2166] ✓ wrote 10, skipped 0
[315/2166] ✓ wrote 10, skipped 0
[316/2166] ✓ wrote 10, skipped 0
[317/2166] ✓ wrote 10, skipped 0
[318/2166] ✓ wrote 10, skipped 0
[319/2166] ✓ wrote 10, skipped 0
[320/2166] ✓ wrote 10, skipped 0
[321/2166] ✓ wrote 10, skipped 0
[322/2166] ✓ wrote 10, skipped 0
[323/2166] ✓ wrote 10, skipped 0
[324/2166] ✓ wrote 10, skipped 0
[325/2166] ✓ wrote 10, skipped 0
[326/2166] ✓ wrote 10, skipped 0
[327/2166] ✓ wrote 10, skipped 0
[328/2166] ✓ wrote 10, skipped 0
[329/2166] ✓ wrote 10, skipped 0
[330/2166] ✓ wrote 10, skipped 0
[331/2166] ✓ wrote 10, skipped 0
[332/2166] ✓ wrote 10, skipped 0
[333/2166] ✓ wrote 10, skipped 0
[334/2166] ✓ wrote 10, skipped 0
[335/2166] ✓ wrote 10, skipped 0
[336/2166] ✓ wrote 10, skipped 0
[337/2166] ✓ wrote 10, skipped 0
[338/2166] ✓ wrote 10, skipped 0
[339/2166] ✓ wrote 10, skipped 0
[340/2166] ✓ wrote 10, skipped 0
[341/2166] ✓ wrote 10, skipped 0
[342/2166] ✓ wrote 10, skipped 0
[343/2166] ✓ wrote 10, skipped 0
[344/2166] ✓ wrote 10, skipped 0
[345/2166] ✓ wrote 10, skipped 0
[346/2166] ✓ wrote 10, skipped 0
[347/2166] ✓ wrote 10, skipped 0
[348/2166] ✓ wrote 10, skipped 0
[349/2166] ✓ wrote 10, skipped 0
[350/2166] ✓ wrote 10, skipped 0
[351/2166] ✓ wrote 10, skipped 0
[352/2166] ✓ wrote 10, skipped 0
[353/2166] ✓ wrote 10, skipped 0
[354/2166] ✓ wrote 10, skipped 0
[355/2166] ✓ wrote 9, skipped 1
[356/2166] ✓ wrote 10, skipped 0
[357/2166] ✓ wrote 10, skipped 0
[358/2166] ✓ wrote 10, skipped 0
[359/2166] ✓ wrote 10, skipped 0
[360/2166] ✓ wrote 9, skipped 1
[361/2166] ✓ wrote 10, skipped 0
[362/2166] ✓ wrote 10, skipped 0
[363/2166] ✓ wrote 10, skipped 0
[364/2166] ✓ wrote 10, skipped 0
[365/2166] ✓ wrote 10, skipped 0
[366/2166] ✓ wrote 10, skipped 0
[367/2166] ✓ wrote 10, skipped 0
[368/2166] ✓ wrote 10, skipped 0
[369/2166] ✓ wrote 10, skipped 0
[370/2166] ✓ wrote 10, skipped 0
[371/2166] ✓ wrote 10, skipped 0
[372/2166] ✓ wrote 10, skipped 0
[373/2166] ✓ wrote 10, skipped 0
[374/2166] ✓ wrote 10, skipped 0
[375/2166] ✓ wrote 10, skipped 0
[376/2166] ✓ wrote 10, skipped 0
[377/2166] ✓ wrote 10, skipped 0
[378/2166] ✓ wrote 10, skipped 0
[379/2166] ✓ wrote 10, skipped 0
[380/2166] ✓ wrote 10, skipped 0
[381/2166] ✓ wrote 10, skipped 0
[382/2166] ✓ wrote 10, skipped 0
[383/2166] ✓ wrote 10, skipped 0
[384/2166] ✓ wrote 10, skipped 0
[385/2166] ✓ wrote 10, skipped 0
[386/2166] ✓ wrote 10, skipped 0
[387/2166] ✓ wrote 10, skipped 0
[388/2166] ✓ wrote 10, skipped 0
[389/2166] ✓ wrote 10, skipped 0
[390/2166] ✓ wrote 10, skipped 0
[391/2166] ✓ wrote 10, skipped 0
[392/2166] ✓ wrote 10, skipped 0
[393/2166] ✓ wrote 10, skipped 0
[394/2166] ✓ wrote 10, skipped 0
[395/2166] ✓ wrote 10, skipped 0
[396/2166] ✓ wrote 10, skipped 0
[397/2166] ✓ wrote 10, skipped 0
[398/2166] ✓ wrote 10, skipped 0
[399/2166] ✓ wrote 10, skipped 0
[400/2166] ✓ wrote 10, skipped 0
[401/2166] ✓ wrote 9, skipped 1
[402/2166] ✓ wrote 9, skipped 1
[403/2166] ✓ wrote 10, skipped 0
[404/2166] ✓ wrote 10, skipped 0
[405/2166] ✓ wrote 10, skipped 0
[406/2166] ✓ wrote 10, skipped 0
[407/2166] ✓ wrote 10, skipped 0
[408/2166] ✓ wrote 10, skipped 0
[409/2166] ✓ wrote 10, skipped 0
[410/2166] ✓ wrote 10, skipped 0
[411/2166] ✓ wrote 10, skipped 0
[412/2166] ✓ wrote 10, skipped 0
[413/2166] ✓ wrote 10, skipped 0
[414/2166] ✓ wrote 10, skipped 0
[415/2166] ✓ wrote 10, skipped 0
[416/2166] ✓ wrote 10, skipped 0
[417/2166] ✓ wrote 10, skipped 0
[418/2166] ✓ wrote 10, skipped 0
[419/2166] ✓ wrote 10, skipped 0
[420/2166] ✓ wrote 10, skipped 0
[421/2166] ✓ wrote 10, skipped 0
[422/2166] ✓ wrote 10, skipped 0
[423/2166] ✓ wrote 10, skipped 0
[424/2166] ✓ wrote 10, skipped 0
[425/2166] ✓ wrote 10, skipped 0
[426/2166] ✓ wrote 10, skipped 0
[427/2166] ✓ wrote 10, skipped 0
[428/2166] ✓ wrote 10, skipped 0
[429/2166] ✓ wrote 10, skipped 0
